,epoch,train/eval,batch_size,loss,acc
0,0,train,32,21.74237823486328,
0,0,train,32,21.618450164794922,
0,0,train,32,21.554309844970703,
0,0,train,32,21.40073013305664,
0,0,train,32,21.622299194335938,
0,0,train,32,21.496685028076172,
0,0,train,32,21.517995834350586,
0,0,train,32,21.623870849609375,
0,0,train,32,21.778900146484375,
0,0,train,32,21.893230438232422,
0,0,train,32,21.524322509765625,
0,0,train,32,21.531597137451172,
0,0,train,32,21.34687042236328,
0,0,train,32,21.59771728515625,
0,0,train,32,21.75415802001953,
0,0,train,32,21.58832359313965,
0,0,eval,32,21.43993377685547,0.0
0,0,eval,32,21.630863189697266,0.0
0,0,eval,32,21.950925827026367,0.0
0,0,eval,32,21.591867446899414,0.0
0,0,eval,32,21.61580467224121,0.0
0,0,eval,32,21.61836814880371,0.0
0,0,eval,32,21.31080436706543,0.0
0,0,eval,32,21.31769371032715,0.0
0,0,eval,32,21.461496353149414,0.0
0,0,eval,32,21.282623291015625,0.0
0,0,eval,32,21.368148803710938,0.0
0,0,eval,32,21.533016204833984,0.0
0,0,eval,32,21.636571884155273,0.0
0,0,eval,32,21.587879180908203,0.0
0,0,eval,32,21.50528335571289,0.0
0,0,eval,32,21.467092514038086,0.0
0,0,eval,32,21.708148956298828,0.0
0,0,eval,32,21.440677642822266,0.0
0,0,eval,32,21.39278793334961,0.0
0,0,eval,32,21.4113826751709,0.0
0,0,eval,32,21.255788803100586,0.0
0,0,eval,32,21.56146240234375,0.0
0,0,eval,32,21.411462783813477,0.0
0,0,eval,32,21.660343170166016,0.0
0,0,eval,32,21.540597915649414,0.0
0,0,eval,32,21.419586181640625,0.0
0,0,eval,32,21.57558822631836,0.0
0,0,eval,32,21.454853057861328,0.0
0,0,eval,32,21.357452392578125,0.0
0,0,eval,32,21.321680068969727,0.0
0,0,eval,32,21.312355041503906,0.0
0,0,eval,32,21.429861068725586,0.0
0,0,eval,32,21.620946884155273,0.0
0,0,eval,32,21.472898483276367,0.0
0,0,eval,32,21.73135757446289,0.0
0,0,eval,32,21.169811248779297,0.0
0,0,eval,32,21.717266082763672,0.0
0,0,eval,32,21.574203491210938,0.0
0,0,eval,32,21.35836410522461,0.0
0,0,eval,32,21.608983993530273,0.0
0,0,eval,32,21.6140079498291,0.0
0,0,eval,32,21.743701934814453,0.0
0,0,eval,32,21.883874893188477,0.0
0,0,eval,32,21.403671264648438,0.0
0,0,eval,32,21.514892578125,0.0
0,0,eval,32,21.709810256958008,0.0
0,0,eval,32,21.670682907104492,0.0
0,0,eval,32,21.842653274536133,0.0
0,0,eval,32,21.723434448242188,0.0
0,0,eval,32,21.44087791442871,0.0
0,0,eval,32,21.82308006286621,0.0
0,0,eval,32,21.34618377685547,0.0
0,0,eval,32,21.46755599975586,0.0
0,0,eval,32,21.898574829101562,0.0
0,0,eval,32,21.26922607421875,0.0
0,0,eval,32,21.840686798095703,0.0
0,0,eval,32,21.468971252441406,0.0
0,0,eval,32,21.51506805419922,0.0
0,0,eval,32,21.746366500854492,0.0
0,0,eval,32,21.58572006225586,0.0
0,0,eval,32,21.470870971679688,0.0
0,0,eval,32,21.60219383239746,0.0
0,0,eval,32,21.315996170043945,0.0
0,0,eval,32,21.3822078704834,0.0
0,0,eval,32,21.353906631469727,0.0
0,0,eval,32,21.575082778930664,0.0
0,0,eval,32,21.66557502746582,0.0
0,0,eval,32,21.2034854888916,0.0
0,0,eval,32,21.42206573486328,0.0
0,0,eval,32,21.514434814453125,0.0
0,0,eval,32,21.651569366455078,0.0
0,0,eval,32,21.40972137451172,0.0
0,0,eval,32,21.73145294189453,0.0
0,0,eval,32,21.516529083251953,0.0
0,0,eval,32,21.364530563354492,0.0
0,0,eval,32,21.68305778503418,0.0
0,0,eval,32,21.605833053588867,0.0
0,0,eval,32,21.276653289794922,0.0
0,0,eval,32,21.263734817504883,0.0
0,0,eval,32,21.34697151184082,0.0
0,0,eval,32,21.620805740356445,0.0
0,0,eval,32,21.359371185302734,0.0
0,0,eval,32,21.64871597290039,0.0
0,0,eval,32,21.488666534423828,0.0
0,0,eval,32,21.46039390563965,0.0
0,0,eval,32,21.304973602294922,0.0
0,0,eval,32,21.104494094848633,0.0
0,0,eval,32,21.600313186645508,0.0
0,0,eval,32,21.630769729614258,0.0
0,0,eval,32,21.6571044921875,0.0
0,0,eval,32,21.510555267333984,0.0
0,0,eval,32,21.7282657623291,0.0
0,0,eval,32,21.562219619750977,0.0
0,0,eval,32,21.4011287689209,0.0
0,0,eval,32,21.43729019165039,0.0
0,0,eval,32,21.315956115722656,0.0
0,0,eval,32,21.32659149169922,0.0
0,0,eval,32,21.55553436279297,0.0
0,0,eval,32,21.773109436035156,0.0
0,0,eval,32,21.547842025756836,0.0
0,0,eval,32,21.545101165771484,0.0
0,0,eval,32,21.43230628967285,0.0
0,0,eval,32,21.28965187072754,0.0
0,0,eval,32,21.279268264770508,0.0
0,0,eval,32,21.161155700683594,0.0
0,0,eval,32,21.404001235961914,0.0
0,0,eval,32,21.674135208129883,0.0
0,0,eval,32,21.285930633544922,0.0
0,0,eval,32,21.520912170410156,0.0
0,0,eval,32,21.43682861328125,0.0
0,0,eval,32,21.241697311401367,0.0
0,0,eval,32,21.55923080444336,0.0
0,0,eval,32,21.574586868286133,0.0
0,0,eval,32,21.612401962280273,0.0
0,0,eval,32,21.591646194458008,0.0
0,0,eval,32,21.55230712890625,0.0
0,0,eval,32,21.412029266357422,0.0
0,0,eval,32,21.52704429626465,0.0
0,0,eval,32,21.333576202392578,0.0
0,0,eval,32,21.540939331054688,0.0
0,0,eval,32,21.507139205932617,0.0
0,0,eval,32,21.73600959777832,0.0
0,0,eval,32,21.264280319213867,0.0
0,0,eval,32,21.640527725219727,0.0
0,0,eval,32,21.495956420898438,0.0
0,0,eval,32,21.754154205322266,0.0
0,0,eval,32,21.56465721130371,0.0
0,0,eval,32,21.58588218688965,0.0
0,0,eval,32,21.313108444213867,0.0
0,0,eval,32,21.510379791259766,0.0
0,0,eval,32,21.579120635986328,0.0
0,0,eval,32,21.66158103942871,0.0
0,0,eval,32,21.539087295532227,0.0
0,0,eval,32,21.819595336914062,0.0
0,0,eval,32,21.71456527709961,0.0
0,0,eval,32,21.615846633911133,0.0
0,0,eval,32,21.829132080078125,0.0
0,0,eval,32,21.23691177368164,0.0
0,0,eval,32,21.36322021484375,0.0
